id,pop
591,5793
592,5560
593,9074
594,7534
595,8632
596,8013
597,6305
598,8059
599,8330
600,6887
601,7248
602,5600
603,6900
604,8341
605,9332
606,8653
607,4028
608,5997
609,5936
610,4787
611,9598
612,3842
613,12084
614,5791
615,10586
616,4117
617,8881
618,9503
619,5056
620,9025
621,6774
622,6848
623,9376
624,10706
625,7245
626,12197
627,4357
628,5801
629,11042
630,8552
631,9328
632,8286
633,6168
634,12763
635,30505
636,6957
637,10892
638,6398
639,5382
640,15435
641,15352
642,18157
643,20657
644,9834
645,18137
646,17474
647,12784
648,12670
649,13592
650,7797
651,13041
652,10137
653,12237
654,12643
655,10669
656,14097
657,5933
658,9810
659,12695
660,9148
661,8050
662,9344
663,9650
664,6253
665,4351
666,6643
667,9745
668,9126
669,9482
670,6098
671,25050
672,7096
673,25664
674,13701
675,10482
676,12937
677,7324
678,10979
679,7737
680,16712
681,9530
682,9797
683,11762
684,18514
685,13200
686,9086
687,9664
688,9516
689,10050
690,21238
691,11610
692,12149
693,8355
694,11624
695,11063
696,11628
697,33367
698,7773
699,11213
700,2529
701,6941
702,12661
703,12837
704,5628
705,9774
706,3221
707,1424
708,3201
709,4027
710,4482
711,8095
712,7860
713,7418
714,13627
715,10736
716,7110
717,9750
718,10075
719,5967
720,9027
721,6572
722,16803
723,9760
724,8288
725,10150
726,6426
727,6588
728,6026
729,4943
730,6657
731,5089
732,3694
733,5693
734,2441
735,9116
736,11337
737,6137
738,5159
739,9830
740,10731
741,8346
742,5428
743,7854
744,8209
745,6638
746,5344
747,5660
748,6529
749,5029
750,3997
751,3251
752,8878
753,8022
754,6802
755,7350
756,8049
757,4857
758,5656
759,8169
760,11505
761,7151
762,14852
763,9360
764,7087
765,11221
766,11434
767,8816
768,6127
769,15081
770,6705
771,4178
772,9638
773,6025
774,4602
775,3916
776,4743
777,9068
778,9982
779,7649
780,9684
781,6118
782,15573
783,5299
784,5191
785,10240
786,12284
787,11150
788,6245
789,7174
790,13764
791,5761
792,8713
793,9617
794,8066
795,9036
796,9529
797,6557
798,10517
799,4596
800,7243
801,10608
802,6289
803,4691
804,7966
805,4002
806,6066
807,8289
808,7533
809,6620
810,6988
811,10195
812,9490
813,6046
814,8104
815,8456
816,10784
817,12133
818,5450
819,7702
820,7580
821,6850
822,12847
823,6394
824,7944
825,7624
826,10662
827,10408
828,11845
829,7179
830,6284
831,3519
832,11588
833,9626
834,8150
835,10686
836,10583
837,8324
838,4860
839,6240
840,7029
841,7548
842,9890
843,8859
844,5626
845,5730
846,7390
847,4180
848,9085
849,7962
850,5193
851,6198
852,7941
853,8400
854,6476
855,5615
856,6407
857,7356
858,7990
859,9264
860,9482
861,6700
862,10094
863,9760
864,10090
865,7732
866,10877
867,5876
868,6870
869,13306
870,6152
871,8570
872,7334
873,8227
874,8582
875,7258
876,9317
877,7920
878,9948
879,6321
880,16215
881,11663
882,8942
883,7759
884,11147
885,3232
886,10837
887,8099
888,20710
889,4412
890,5956
891,4342
892,6079
893,21532
894,6705
895,3074
896,8080
897,4046
898,20258
899,38355
900,26831
901,30200
902,6926
903,14906
904,19844
905,6805
906,25432
907,33911
908,31589
909,14374
910,18700
911,16348
912,14769
913,27927
914,21866
915,12699
916,19517
917,34475
918,21406
919,16431
920,9343
921,20560
922,3721
923,5120
924,10907
925,10330
926,19484
927,3939
928,16024
929,13507
930,8178
931,6646
932,11543
933,1593
934,10070
935,1504
936,4028
937,683
938,1244
939,3064
940,888
941,2408
942,1936
943,17290
944,16650
945,10056
946,9173
947,13263
948,17354
949,12116
950,7745
951,8549
952,11145
953,9239
954,10335
955,7931
956,8221
957,14822
